iter	Passed	Remaining
0	60	60724
1	61	30527
2	61	20492
3	62	15541
4	62	12498
5	63	10493
6	63	9052
7	64	7967
8	64	7121
9	64	6433
10	65	5869
11	65	5402
12	66	5013
13	66	4689
14	67	4406
15	67	4150
16	67	3923
17	68	3728
18	68	3549
19	69	3387
20	69	3240
21	69	3111
22	70	2989
23	70	2876
24	71	2775
25	71	2683
26	72	2599
27	72	2518
28	73	2444
29	73	2375
30	73	2311
31	74	2254
32	74	2194
33	75	2140
34	76	2096
35	76	2053
36	77	2004
37	77	1959
38	77	1916
39	78	1874
40	78	1842
41	79	1804
42	79	1771
43	80	1738
44	80	1705
45	80	1675
46	81	1652
47	81	1622
48	82	1593
49	82	1565
50	82	1537
51	82	1511
52	83	1485
53	83	1460
54	83	1438
55	84	1417
56	84	1400
57	85	1383
58	85	1365
59	86	1348
60	86	1330
61	86	1314
62	87	1301
63	87	1284
64	88	1270
65	88	1256
66	89	1241
67	89	1228
68	90	1216
69	90	1208
70	91	1197
71	91	1184
72	92	1171
73	92	1158
74	93	1147
75	93	1136
76	94	1127
77	94	1117
78	95	1107
79	95	1099
80	95	1088
81	96	1079
82	96	1067
83	97	1059
84	97	1050
85	98	1042
86	98	1037
87	99	1028
88	99	1020
89	100	1012
90	100	1004
91	101	998
92	101	990
93	101	983
94	102	977
95	102	969
96	103	962
97	103	955
98	104	949
99	104	944
100	105	938
101	105	932
102	106	927
103	106	921
104	107	915
105	107	908
106	108	903
107	108	897
108	109	892
109	109	887
110	110	882
111	110	877
112	111	872
113	111	867
114	112	862
115	112	857
116	112	851
117	113	846
118	113	841
119	114	836
120	114	832
121	114	826
122	115	822
123	115	818
124	116	815
125	116	810
126	117	807
127	117	802
128	118	799
129	118	794
130	119	790
131	119	786
132	120	782
133	120	778
134	120	775
135	121	773
136	122	771
137	123	768
138	123	765
139	124	762
140	124	758
141	124	753
142	125	751
143	125	747
144	126	744
145	126	741
146	127	738
147	127	735
148	128	732
149	128	728
150	128	725
151	129	721
152	129	718
153	130	715
154	131	717
155	132	714
156	132	710
157	133	711
158	133	708
159	134	706
160	134	702
161	135	699
162	135	696
163	136	694
164	136	692
165	137	689
166	137	687
167	138	685
168	138	682
169	139	679
170	139	676
171	140	673
172	140	671
173	140	669
174	141	666
175	142	664
176	142	663
177	143	663
178	144	662
179	144	660
180	145	657
181	145	654
182	146	652
183	146	649
184	146	647
185	147	644
186	147	642
187	148	639
188	148	637
189	148	635
190	149	632
191	149	630
192	150	628
193	150	626
194	151	624
195	151	622
196	152	620
197	152	618
198	153	616
199	153	614
200	154	612
201	154	609
202	154	607
203	155	606
204	155	604
205	156	602
206	156	600
207	157	599
208	157	597
209	158	595
210	158	593
211	159	591
212	159	589
213	160	587
214	160	586
215	161	584
216	161	582
217	161	580
218	162	579
219	162	577
220	163	575
221	163	573
222	164	571
223	164	570
224	165	568
225	165	566
226	165	565
227	166	563
228	166	562
229	167	560
230	167	558
231	168	556
232	168	554
233	168	553
234	169	551
235	169	549
236	170	547
237	170	546
238	170	544
239	171	542
240	172	541
241	172	540
242	173	539
243	173	537
244	173	535
245	174	534
246	174	532
247	175	530
248	175	529
249	175	527
250	176	526
251	176	524
252	177	522
253	177	521
254	178	520
255	178	518
256	178	516
257	179	515
258	179	513
259	179	512
260	180	511
261	180	509
262	181	508
263	181	507
264	182	505
265	182	504
266	183	503
267	183	502
268	184	500
269	184	499
270	185	498
271	185	497
272	186	495
273	186	494
274	187	493
275	187	491
276	187	490
277	188	488
278	188	487
279	189	486
280	189	485
281	189	483
282	190	482
283	190	480
284	191	479
285	191	478
286	192	477
287	192	476
288	192	474
289	193	473
290	193	472
291	194	471
292	194	470
293	195	468
